date,rainfall
1/1/2004,0
1/2/2004,0
1/3/2004,0
1/4/2004,0
1/5/2004,0
1/6/2004,0
1/7/2004,0
1/8/2004,0
1/9/2004,0
1/10/2004,0
1/11/2004,0
1/12/2004,0
1/13/2004,0
1/14/2004,0
1/15/2004,0
1/16/2004,0
1/17/2004,0
1/18/2004,0
1/19/2004,0
1/20/2004,0
1/21/2004,0
1/22/2004,6.5
1/23/2004,5
1/24/2004,6.4
1/25/2004,9.2
1/26/2004,0
1/27/2004,0
1/28/2004,0
1/29/2004,0
1/30/2004,0
1/31/2004,0
2/1/2004,0
2/2/2004,0
2/3/2004,0
2/4/2004,0
2/5/2004,0
2/6/2004,0
2/7/2004,0
2/8/2004,0
2/9/2004,0
2/10/2004,0
2/11/2004,0
2/12/2004,0
2/13/2004,0
2/14/2004,0
2/15/2004,0
2/16/2004,0
2/17/2004,0
2/18/2004,0
2/19/2004,0
2/20/2004,0
2/21/2004,0
2/22/2004,0
2/23/2004,0
2/24/2004,0
2/25/2004,0
2/26/2004,0
2/27/2004,0
2/28/2004,0
2/29/2004,0
3/1/2004,0
3/2/2004,0
3/3/2004,0
3/4/2004,0
3/5/2004,0
3/6/2004,0
3/7/2004,0
3/8/2004,0
3/9/2004,0
3/10/2004,0
3/11/2004,2.7
3/12/2004,0
3/13/2004,0.4
3/14/2004,0
3/15/2004,0
3/16/2004,29.2
3/17/2004,0
3/18/2004,0
3/19/2004,0
3/20/2004,0
3/21/2004,0
3/22/2004,0
3/23/2004,0
3/24/2004,0
3/25/2004,0
3/26/2004,0
3/27/2004,0
3/28/2004,0
3/29/2004,0
3/30/2004,0
3/31/2004,0
4/1/2004,0
4/2/2004,0
4/3/2004,26.5
4/4/2004,0
4/5/2004,0
4/6/2004,0
4/7/2004,0
4/8/2004,0
4/9/2004,0.2
4/10/2004,2.4
4/11/2004,0.1
4/12/2004,0
4/13/2004,0.3
4/14/2004,0.2
4/15/2004,0
4/16/2004,7.2
4/17/2004,0
4/18/2004,13.5
4/19/2004,72.4
4/20/2004,0
4/21/2004,0
4/22/2004,0
4/23/2004,10.4
4/24/2004,0.4
4/25/2004,1
4/26/2004,0
4/27/2004,0.4
4/28/2004,10.6
4/29/2004,18.6
4/30/2004,0
5/1/2004,8.6
5/2/2004,6.1
5/3/2004,0
5/4/2004,0
5/5/2004,0
5/6/2004,0
5/7/2004,0
5/8/2004,0
5/9/2004,0
5/10/2004,0
5/11/2004,0
5/12/2004,0
5/13/2004,0
5/14/2004,0
5/15/2004,0
5/16/2004,0
5/17/2004,21.8
5/18/2004,9.5
5/19/2004,16.3
5/20/2004,47.3
5/21/2004,18.2
5/22/2004,1.4
5/23/2004,0.7
5/24/2004,17.6
5/25/2004,0.2
5/26/2004,18.3
5/27/2004,1.6
5/28/2004,0.5
5/29/2004,0
5/30/2004,0.3
5/31/2004,0.4
6/1/2004,23.8
6/2/2004,1.2
6/3/2004,5.4
6/4/2004,0
6/5/2004,1.9
6/6/2004,13
6/7/2004,0.9
6/8/2004,18.3
6/9/2004,3.8
6/10/2004,0
6/11/2004,14
6/12/2004,19.2
6/13/2004,0
6/14/2004,10
6/15/2004,0
6/16/2004,4.7
6/17/2004,3
6/18/2004,22.4
6/19/2004,4.2
6/20/2004,2.9
6/21/2004,3.5
6/22/2004,28.7
6/23/2004,0
6/24/2004,0.9
6/25/2004,1.2
6/26/2004,0
6/27/2004,0
6/28/2004,0
6/29/2004,0
6/30/2004,0
7/1/2004,0.9
7/2/2004,0
7/3/2004,1.8
7/4/2004,1.2
7/5/2004,3.3
7/6/2004,1.2
7/7/2004,1.9
7/8/2004,4.8
7/9/2004,74.6
7/10/2004,27.4
7/11/2004,38.7
7/12/2004,6.6
7/13/2004,11
7/14/2004,0
7/15/2004,0.1
7/16/2004,36.2
7/17/2004,0.9
