,date,rainfall,year,mth,day,ystrdy_lvl,usg_amt,tdy_rain_ptntl,tdy_rain_coll,tnkr_amt,tdy_lvl,tdy_rain_ovflw
0,2004-01-01,0.0,2004,01,01,5000,500,0,0,0,4500,0
1,2004-01-02,0.0,2004,01,02,4500,500,0,0,0,4000,0
2,2004-01-03,0.0,2004,01,03,4000,500,0,0,0,3500,0
3,2004-01-04,0.0,2004,01,04,3500,500,0,0,0,3000,0
4,2004-01-05,0.0,2004,01,05,3000,500,0,0,0,2500,0
5,2004-01-06,0.0,2004,01,06,2500,500,0,0,6000,8000,0
6,2004-01-07,0.0,2004,01,07,8000,500,0,0,0,7500,0
7,2004-01-08,0.0,2004,01,08,7500,500,0,0,0,7000,0
8,2004-01-09,0.0,2004,01,09,7000,500,0,0,0,6500,0
9,2004-01-10,0.0,2004,01,10,6500,500,0,0,0,6000,0
10,2004-01-11,0.0,2004,01,11,6000,500,0,0,0,5500,0
11,2004-01-12,0.0,2004,01,12,5500,500,0,0,0,5000,0
12,2004-01-13,0.0,2004,01,13,5000,500,0,0,0,4500,0
13,2004-01-14,0.0,2004,01,14,4500,500,0,0,0,4000,0
14,2004-01-15,0.0,2004,01,15,4000,500,0,0,0,3500,0
15,2004-01-16,0.0,2004,01,16,3500,500,0,0,0,3000,0
16,2004-01-17,0.0,2004,01,17,3000,500,0,0,0,2500,0
17,2004-01-18,0.0,2004,01,18,2500,500,0,0,6000,8000,0
18,2004-01-19,0.0,2004,01,19,8000,500,0,0,0,7500,0
19,2004-01-20,0.0,2004,01,20,7500,500,0,0,0,7000,0
20,2004-01-21,0.0,2004,01,21,7000,500,0,0,0,6500,0
21,2004-01-22,6.4,2004,01,22,6500,500,410,410,0,6410,0
22,2004-01-23,5.0,2004,01,23,6410,500,320,320,0,6230,0
23,2004-01-24,6.4,2004,01,24,6230,500,410,410,0,6140,0
24,2004-01-25,9.1,2004,01,25,6140,500,582,582,0,6222,0
25,2004-01-26,0.0,2004,01,26,6222,500,0,0,0,5722,0
26,2004-01-27,0.0,2004,01,27,5722,500,0,0,0,5222,0
27,2004-01-28,0.0,2004,01,28,5222,500,0,0,0,4722,0
28,2004-01-29,0.0,2004,01,29,4722,500,0,0,0,4222,0
29,2004-01-30,0.0,2004,01,30,4222,500,0,0,0,3722,0
30,2004-01-31,0.0,2004,01,31,3722,500,0,0,0,3222,0
31,2004-02-01,0.0,2004,02,01,3222,500,0,0,0,2722,0
32,2004-02-02,0.0,2004,02,02,2722,500,0,0,6000,8222,0
33,2004-02-03,0.0,2004,02,03,8222,500,0,0,0,7722,0
34,2004-02-04,0.0,2004,02,04,7722,500,0,0,0,7222,0
35,2004-02-05,0.0,2004,02,05,7222,500,0,0,0,6722,0
36,2004-02-06,0.0,2004,02,06,6722,500,0,0,0,6222,0
37,2004-02-07,0.0,2004,02,07,6222,500,0,0,0,5722,0
38,2004-02-08,0.0,2004,02,08,5722,500,0,0,0,5222,0
39,2004-02-09,0.0,2004,02,09,5222,500,0,0,0,4722,0
40,2004-02-10,0.0,2004,02,10,4722,500,0,0,0,4222,0
41,2004-02-11,0.0,2004,02,11,4222,500,0,0,0,3722,0
42,2004-02-12,0.0,2004,02,12,3722,500,0,0,0,3222,0
43,2004-02-13,0.0,2004,02,13,3222,500,0,0,0,2722,0
44,2004-02-14,0.0,2004,02,14,2722,500,0,0,6000,8222,0
45,2004-02-15,0.0,2004,02,15,8222,500,0,0,0,7722,0
46,2004-02-16,0.0,2004,02,16,7722,500,0,0,0,7222,0
47,2004-02-17,0.0,2004,02,17,7222,500,0,0,0,6722,0
48,2004-02-18,0.0,2004,02,18,6722,500,0,0,0,6222,0
49,2004-02-19,0.0,2004,02,19,6222,500,0,0,0,5722,0
50,2004-02-20,0.0,2004,02,20,5722,500,0,0,0,5222,0
51,2004-02-21,0.0,2004,02,21,5222,500,0,0,0,4722,0
52,2004-02-22,0.0,2004,02,22,4722,500,0,0,0,4222,0
53,2004-02-23,0.0,2004,02,23,4222,500,0,0,0,3722,0
54,2004-02-24,0.0,2004,02,24,3722,500,0,0,0,3222,0
55,2004-02-25,0.0,2004,02,25,3222,500,0,0,0,2722,0
56,2004-02-26,0.0,2004,02,26,2722,500,0,0,6000,8222,0
57,2004-02-27,0.0,2004,02,27,8222,500,0,0,0,7722,0
58,2004-02-28,0.0,2004,02,28,7722,500,0,0,0,7222,0
59,2004-02-29,0.0,2004,02,29,7222,500,0,0,0,6722,0
60,2004-03-01,0.0,2004,03,01,6722,500,0,0,0,6222,0
61,2004-03-02,0.0,2004,03,02,6222,500,0,0,0,5722,0
62,2004-03-03,0.0,2004,03,03,5722,500,0,0,0,5222,0
63,2004-03-04,0.0,2004,03,04,5222,500,0,0,0,4722,0
64,2004-03-05,0.0,2004,03,05,4722,500,0,0,0,4222,0
65,2004-03-06,0.0,2004,03,06,4222,500,0,0,0,3722,0
66,2004-03-07,0.0,2004,03,07,3722,500,0,0,0,3222,0
67,2004-03-08,0.0,2004,03,08,3222,500,0,0,0,2722,0
68,2004-03-09,0.0,2004,03,09,2722,500,0,0,6000,8222,0
69,2004-03-10,0.0,2004,03,10,8222,500,0,0,0,7722,0
70,2004-03-11,2.7,2004,03,11,7722,500,173,173,0,7395,0
71,2004-03-12,0.0,2004,03,12,7395,500,0,0,0,6895,0
72,2004-03-13,0.4,2004,03,13,6895,500,26,26,0,6421,0
73,2004-03-14,0.0,2004,03,14,6421,500,0,0,0,5921,0
74,2004-03-15,0.0,2004,03,15,5921,500,0,0,0,5421,0
75,2004-03-16,29.2,2004,03,16,5421,500,1869,1869,0,6790,0
76,2004-03-17,0.0,2004,03,17,6790,500,0,0,0,6290,0
77,2004-03-18,0.0,2004,03,18,6290,500,0,0,0,5790,0
78,2004-03-19,0.0,2004,03,19,5790,500,0,0,0,5290,0
79,2004-03-20,0.0,2004,03,20,5290,500,0,0,0,4790,0
80,2004-03-21,0.0,2004,03,21,4790,500,0,0,0,4290,0
81,2004-03-22,0.0,2004,03,22,4290,500,0,0,0,3790,0
82,2004-03-23,0.0,2004,03,23,3790,500,0,0,0,3290,0
83,2004-03-24,0.0,2004,03,24,3290,500,0,0,0,2790,0
84,2004-03-25,0.0,2004,03,25,2790,500,0,0,6000,8290,0
85,2004-03-26,0.0,2004,03,26,8290,500,0,0,0,7790,0
86,2004-03-27,0.0,2004,03,27,7790,500,0,0,0,7290,0
87,2004-03-28,0.0,2004,03,28,7290,500,0,0,0,6790,0
88,2004-03-29,0.0,2004,03,29,6790,500,0,0,0,6290,0
89,2004-03-30,0.0,2004,03,30,6290,500,0,0,0,5790,0
90,2004-03-31,0.0,2004,03,31,5790,500,0,0,0,5290,0
91,2004-04-01,0.0,2004,04,01,5290,500,0,0,0,4790,0
92,2004-04-02,0.0,2004,04,02,4790,500,0,0,0,4290,0
93,2004-04-03,26.5,2004,04,03,4290,500,1696,1696,0,5486,0
94,2004-04-04,0.0,2004,04,04,5486,500,0,0,0,4986,0
95,2004-04-05,0.0,2004,04,05,4986,500,0,0,0,4486,0
96,2004-04-06,0.0,2004,04,06,4486,500,0,0,0,3986,0
97,2004-04-07,0.0,2004,04,07,3986,500,0,0,0,3486,0
98,2004-04-08,0.0,2004,04,08,3486,500,0,0,0,2986,0
99,2004-04-09,0.2,2004,04,09,2986,500,13,13,6000,8499,0
100,2004-04-10,2.4,2004,04,10,8499,500,154,154,0,8153,0
101,2004-04-11,0.0,2004,04,11,8153,500,0,0,0,7653,0
102,2004-04-12,0.0,2004,04,12,7653,500,0,0,0,7153,0
103,2004-04-13,0.3,2004,04,13,7153,500,19,19,0,6672,0
104,2004-04-14,0.2,2004,04,14,6672,500,13,13,0,6185,0
105,2004-04-15,0.0,2004,04,15,6185,500,0,0,0,5685,0
106,2004-04-16,7.2,2004,04,16,5685,500,461,461,0,5646,0
107,2004-04-17,0.0,2004,04,17,5646,500,0,0,0,5146,0
108,2004-04-18,13.5,2004,04,18,5146,500,864,864,0,5510,0
109,2004-04-19,72.4,2004,04,19,5510,500,4634,4634,0,9644,0
110,2004-04-20,0.0,2004,04,20,9644,500,0,0,0,9144,0
111,2004-04-21,0.0,2004,04,21,9144,500,0,0,0,8644,0
112,2004-04-22,0.0,2004,04,22,8644,500,0,0,0,8144,0
113,2004-04-23,10.4,2004,04,23,8144,500,666,666,0,8310,0
114,2004-04-24,0.4,2004,04,24,8310,500,26,26,0,7836,0
115,2004-04-25,1.0,2004,04,25,7836,500,64,64,0,7400,0
116,2004-04-26,0.0,2004,04,26,7400,500,0,0,0,6900,0
117,2004-04-27,0.4,2004,04,27,6900,500,26,26,0,6426,0
118,2004-04-28,10.6,2004,04,28,6426,500,678,678,0,6604,0
119,2004-04-29,18.6,2004,04,29,6604,500,1190,1190,0,7294,0
120,2004-04-30,0.0,2004,04,30,7294,500,0,0,0,6794,0
121,2004-05-01,8.6,2004,05,01,6794,500,550,550,0,6844,0
122,2004-05-02,6.1,2004,05,02,6844,500,390,390,0,6734,0
123,2004-05-03,0.0,2004,05,03,6734,500,0,0,0,6234,0
124,2004-05-04,0.0,2004,05,04,6234,500,0,0,0,5734,0
125,2004-05-05,0.0,2004,05,05,5734,500,0,0,0,5234,0
126,2004-05-06,0.0,2004,05,06,5234,500,0,0,0,4734,0
127,2004-05-07,0.0,2004,05,07,4734,500,0,0,0,4234,0
128,2004-05-08,0.0,2004,05,08,4234,500,0,0,0,3734,0
129,2004-05-09,0.0,2004,05,09,3734,500,0,0,0,3234,0
130,2004-05-10,0.0,2004,05,10,3234,500,0,0,0,2734,0
131,2004-05-11,0.0,2004,05,11,2734,500,0,0,6000,8234,0
132,2004-05-12,0.0,2004,05,12,8234,500,0,0,0,7734,0
133,2004-05-13,0.0,2004,05,13,7734,500,0,0,0,7234,0
134,2004-05-14,0.0,2004,05,14,7234,500,0,0,0,6734,0
135,2004-05-15,0.0,2004,05,15,6734,500,0,0,0,6234,0
136,2004-05-16,0.0,2004,05,16,6234,500,0,0,0,5734,0
137,2004-05-17,21.8,2004,05,17,5734,500,1395,1395,0,6629,0
138,2004-05-18,9.5,2004,05,18,6629,500,608,608,0,6737,0
