,record_date,rainfall_amt,mth,day,year,num_month,ystrdy_lvl,usg_amt,tdy_rain_ptntl,tdy_rain_coll,tnkr_amt,tdy_lvl,tdy_rain_ovflw
0,1/1/2004,0.0,1,1,2004,1,5000,500,0,0,0,4500,0
1,1/2/2004,0.0,1,2,2004,1,4500,500,0,0,0,4000,0
2,1/3/2004,0.0,1,3,2004,1,4000,500,0,0,0,3500,0
3,1/4/2004,0.0,1,4,2004,1,3500,500,0,0,0,3000,0
4,1/5/2004,0.0,1,5,2004,1,3000,500,0,0,0,2500,0
5,1/6/2004,0.0,1,6,2004,1,2500,500,0,0,6000,8000,0
6,1/7/2004,0.0,1,7,2004,1,8000,500,0,0,0,7500,0
7,1/8/2004,0.0,1,8,2004,1,7500,500,0,0,0,7000,0
8,1/9/2004,0.0,1,9,2004,1,7000,500,0,0,0,6500,0
9,1/10/2004,0.0,1,10,2004,1,6500,500,0,0,0,6000,0
10,1/11/2004,0.0,1,11,2004,1,6000,500,0,0,0,5500,0
11,1/12/2004,0.0,1,12,2004,1,5500,500,0,0,0,5000,0
12,1/13/2004,0.0,1,13,2004,1,5000,500,0,0,0,4500,0
13,1/14/2004,0.0,1,14,2004,1,4500,500,0,0,0,4000,0
14,1/15/2004,0.0,1,15,2004,1,4000,500,0,0,0,3500,0
15,1/16/2004,0.0,1,16,2004,1,3500,500,0,0,0,3000,0
16,1/17/2004,0.0,1,17,2004,1,3000,500,0,0,0,2500,0
17,1/18/2004,0.0,1,18,2004,1,2500,500,0,0,6000,8000,0
18,1/19/2004,0.0,1,19,2004,1,8000,500,0,0,0,7500,0
19,1/20/2004,0.0,1,20,2004,1,7500,500,0,0,0,7000,0
20,1/21/2004,0.0,1,21,2004,1,7000,500,0,0,0,6500,0
21,1/22/2004,6.4,1,22,2004,1,6500,500,410,410,0,6410,0
22,1/23/2004,5.0,1,23,2004,1,6410,500,320,320,0,6230,0
23,1/24/2004,6.4,1,24,2004,1,6230,500,410,410,0,6140,0
24,1/25/2004,9.1,1,25,2004,1,6140,500,582,582,0,6222,0
